timestamp,linear_x,linear_y,angular_z,Orientation_Quat_x,Orientation_Quat_y,Orientation_Quat_z,Orientation_Quat_w
8.125,-3.3250861086773584e-06,2.2504205035634406e-05,0.000344449606147422,-7.937113109797286e-06,0.003860597426104851,0.00012309227758169127,0.9999925402585796
8.157,-3.3253052651641585e-06,2.2505159983553354e-05,0.00034446640168662643,-7.958283473700999e-06,0.003860597719502178,0.0001284575446709704,0.9999925395824577
8.19,-3.325524409285534e-06,2.2506114729399467e-05,0.000344483197670213,-7.979399424649788e-06,0.003860598013267105,0.0001338230376677221,0.9999925388775178
8.224,-3.32575019613494e-06,2.250709829449472e-05,0.0003445005042635908,-8.001103610990486e-06,0.003860598316274321,0.00013935135763968012,0.9999925381210711
8.257,-3.325969342633547e-06,2.2508052815359015e-05,0.00034451730304207133,-8.022123966353373e-06,0.00386059861066106,0.00014471730929447034,0.9999925373576111
8.29,-3.326188496903947e-06,2.2509007269536228e-05,0.0003445341034764491,-8.04310369070646e-06,0.0038605989053006077,0.000150083486859194,0.9999925365653226
8.324,-3.32641429066339e-06,2.2509990525627524e-05,0.00034455141372121073,-8.064680624353907e-06,0.0038605992090998795,0.00015561251214533565,0.999992535718869
8.357,-3.326633450329208e-06,2.2510944790886357e-05,0.00034456821601881786,-8.085589026092537e-06,0.0038605995041597683,0.00016097914837501386,0.9999925348680386
8.391,-3.326852624929625e-06,2.2511899048849062e-05,0.00034458502023525044,-8.106467142705833e-06,0.0038605997993865875,0.00016634601052794003,0.9999925339883688
8.424,-3.3270784442081707e-06,2.251288212927567e-05,0.0003446023341846575,-8.127949224516242e-06,0.0038606001037094708,0.00017187574116512167,0.9999925330518751
8.457,-3.327297628943022e-06,2.2513836232819887e-05,0.0003446191396793379,-8.14877423946322e-06,0.0038606003992055545,0.00017724306201410365,0.9999925321136414
8.491,-3.327516832250631e-06,2.2514790359662772e-05,0.00034463594707728545,-8.169576737229752e-06,0.0038606006948031226,0.00018261060879071656,0.9999925311465576
8.524000000000001,-3.3277426850438726e-06,2.251577333143607e-05,0.00034465326425323577,-8.19098829166776e-06,0.00386060099944577,0.0001881410448129472,0.9999925301199896
8.557,-3.327961921045567e-06,2.2516727462096193e-05,0.0003446700744870941,-8.211751366633625e-06,0.003860601295197585,0.00019350905032868777,0.9999925290943198
8.59,-3.3281811544839825e-06,2.251768147284495e-05,0.00034468688410861593,-8.232497754610854e-06,0.0038606015910029666,0.00019887728179823744,0.9999925280397891
8.624,-3.328407057636276e-06,2.2518664462505922e-05,0.00034470420531979007,-8.253857041600088e-06,0.0038606018958146013,0.0002044084232872865,0.9999925269231128
8.657,-3.3286263312392327e-06,2.251961853909502e-05,0.0003447210180866824,-8.274574275694838e-06,0.003860602191688978,0.0002097771135378423,0.9999925258099741
8.691,-3.328845417420062e-06,2.252057124295674e-05,0.0003447378313284201,-8.295279200471295e-06,0.003860602487579854,0.00021514602977145358,0.9999925246679634
8.724,-3.329071369341229e-06,2.2521554247016995e-05,0.00034475515568143473,-8.316599927934853e-06,0.0038606027924444875,0.00022067787680266586,0.9999925234611446
8.758,-3.329290687611562e-06,2.2522508308346226e-05,0.00034477197083871553,-8.337283406889246e-06,0.003860603088340129,0.00022604725187520686,0.9999925222605038
8.79,-3.3295100302056048e-06,2.2523462441689415e-05,0.0003447887878161551,-8.357957862252028e-06,0.0038606033842251554,0.000231416852954561,0.9999925210309798
8.824,-3.329736034447683e-06,2.252444548468595e-05,0.00034480611505435945,-8.379250320938308e-06,0.0038606036890562216,0.0002369494056155918,0.9999925197339846
8.858,-3.3299554108422037e-06,2.2525399645021773e-05,0.0003448229337700448,-8.399909117842771e-06,0.003860603984897361,0.0002423194655945137,0.9999925184458082
8.89,-3.3301748042878887e-06,2.252635382050564e-05,0.00034483975329502976,-8.42056135775693e-06,0.0038606042807061585,0.00024768975161285533,0.9999925171287378
8.924,-3.3304008689930166e-06,2.2527336964556596e-05,0.00034485708389113846,-8.441833273092868e-06,0.003860604585439943,0.0002532230100022976,0.9999925157415319
8.957,-3.3306202998808905e-06,2.2528291194415282e-05,0.00034487390530095854,-8.462474199200775e-06,0.00386060488116838,0.0002585937549826637,0.9999925143657866
8.99,-3.3308397553916895e-06,2.2529245486615235e-05,0.0003448907281287951,-8.483110420175304e-06,0.0038606051768492293,0.00026396472603489447,0.9999925129611364
9.024,-3.3310658747594098e-06,2.2530228691954886e-05,0.00034490806112350865,-8.504367591426106e-06,0.00386060548143647,0.00026949869024926444,0.9999925114836852
9.058,-3.331285176022263e-06,2.253118175811606e-05,0.0003449248865744026,-8.5249957601687e-06,0.0038606057770085565,0.0002748701203294843,0.9999925100203382
9.09,-3.3315046850425246e-06,2.253213611044605e-05,0.00034494171156719674,-8.545620613513809e-06,0.0038606060725225873,0.00028024177651726344,0.999992508528075
9.124,-3.331730870055331e-06,2.2533119453666457e-05,0.00034495904785480154,-8.566867394686234e-06,0.003860606376926412,0.00028577644665995973,0.999992506960344
9.158,-3.3319504268091058e-06,2.2534073942149236e-05,0.0003449758756131447,-8.587486644151474e-06,0.0038606066723108835,0.00029114856194107714,0.9999925054093616
9.19,-3.332170000582443e-06,2.2535028451032878e-05,0.00034499270400297963,-8.608103622433504e-06,0.003860606967627687,0.000296520903362239,0.9999925038294517
9.224,-3.3323962516049197e-06,2.2536011936241586e-05,0.0003450100434463369,-8.629343281354306e-06,0.0038606072718201582,0.00030205627954202937,0.9999925021714069
9.257,-3.332615869126605e-06,2.2536966546901024e-05,0.0003450268739774707,-8.649956493761561e-06,0.0038606075669922668,0.0003074290801285468,0.9999925005327553
9.29,-3.3328355057820672e-06,2.2537921183765276e-05,0.0003450437051801978,-8.670568218012324e-06,0.003860607862090459,0.0003128021068883079,0.9999924988651657
9.323,-3.3330618233277103e-06,2.2538904822293886e-05,0.00034506104780013464,-8.691803208685798e-06,0.0038606081660504965,0.00031833818920965395,0.9999924971167725
9.356,-3.3332813050561254e-06,2.2539858223329658e-05,0.0003450778811474616,-8.712412546967539e-06,0.0038606084609919093,0.0003237116752073013,0.9999924953904186
